"","flightNumber","date","ALT_GIN","LAT_GIN","LON_GIN","PS_RVSM","PS_RVSM_FLAG","TAT_ND_R","TAT_ND_R_FLAG","RH_LIQ","O3_TECO","no_mr","no2_mr","no_u","no2_u","no_lod","no2_lod","co2_drymole","co2_flag","ch4_drymole","ch4_flag","ch4_bias","ch4_uncert","co2_bias","co2_uncert","chl","nh4","no3","org","so4","mass_bc_ugm3","n_bc"
"7774","c416",2025-06-11T16:06:10+00:00,10769.1636779785,53.2185112595558,2.46177047565579,250.027130651474,0,224.147488594055,0,36.6378929138184,179.339999389648,202.932569503784,29.8971148979664,27.933000749757,37.4440030067491,4.83649997711182,9.34650001525879,428.8354,0,1930.2614,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.0643446172326803,22.2206351161003
"7775","c416",2025-06-11T16:06:20+00:00,10768.7392730713,53.2217957139015,2.43778845146298,250.039566993713,0,224.147151136398,0,36.8458812713623,177.339999389648,244.870229110718,84.0254343020916,27.9460011008059,37.498003634283,4.8317000579834,9.36649993896484,428.9328,0,1930.3256,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.0520705831255764,18.0058017671108
"7776","c416",2025-06-11T16:06:30+00:00,10767.0723388672,53.2250406622887,2.41376905366778,250.098049783707,0,224.19259352684,0,36.471459197998,177.9,213.177516784668,98.2892102766037,27.9609998166239,37.5540036067739,4.82699996948242,9.32929992675781,428.714,0,1928.1106,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.0263005503853783,21.6741390228271
"7777","c416",2025-06-11T16:06:40+00:00,10766.2901885986,53.2282705068588,2.38972277119756,250.12438492775,0,224.279714775085,0,35.9639400482178,182.340002441406,192.692585983276,35.9074100749753,27.9759998796423,37.6080038524821,4.82200004577637,9.28840003967285,428.7844,0,1927.5811,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.0435181518495083,20.8440409302711
"7778","c416",2025-06-11T16:06:50+00:00,10766.9389770508,53.2315316438675,2.36567319482565,250.091987133026,0,224.169106435776,0,36.1132736206055,185.100003051758,208.014071655273,60.5710021114349,27.9910003120537,37.664003062065,4.81729995727539,9.25150001525879,428.7812,0,1928.4835,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.0652888064533472,19.9684238433838
"7779","c416",2025-06-11T16:07:00+00:00,10767.4248962402,53.234826540947,2.34162929877639,250.077704334259,0,224.203493976593,0,36.2035205841064,183.139999389648,198.517057800293,58.6529045629501,28.0050005608102,37.7190035451418,4.8125,9.22110000610352,428.6772,0,1927.8651,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.0245721027627587,18.1544774770737
"7780","c416",2025-06-11T16:07:10+00:00,10767.8657348633,53.2381197094917,2.31758191213012,250.05329246521,0,224.051567220688,0,36.8780204772949,182.140005493164,552.501447601318,151.810967300683,28.0200011715722,37.7750025968014,4.80760005950928,9.19279991149902,428.574,0,1929.3897,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.0271828888487071,21.0025848150253
"7781","c416",2025-06-11T16:07:20+00:00,10768.0439727783,53.2413878798485,2.293525313586,250.0387383461,0,223.955551195145,0,37.822924041748,178.220004272461,264.086822662354,85.9305575466156,28.0350012469781,37.8290033825316,4.80299995422363,9.22270004272461,428.7144,0,1930.364,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.101924879007041,21.5051535665989
"7782","c416",2025-06-11T16:07:30+00:00,10767.3692443848,53.2446368217468,2.26945519819856,250.073708772659,0,224.009432840347,0,37.9741245269775,178.079998779297,228.778868560791,60.2312907743454,28.0490001124958,37.8850031985055,4.79800003051758,9.22809997558594,428.7041,0,1929.4158,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.0350520988106728,14.4907517433167
"7783","c416",2025-06-11T16:07:40+00:00,10763.8153656006,53.2478904724121,2.24535841867328,250.199495363235,0,223.977572250366,0,38.1641014099121,180,226.802531738281,94.2486393918097,28.0639999851088,37.9410028849579,4.79319995880127,9.18,428.6479,0,1929.1574,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.0481005871519446,21.8724191188812
